Unique ID,Indicator ID,Name,Measure,Measure Info,Geo Type Name,Geo Join ID,Geo Place Name,Time Period,Start_Date,Data Value,Message
827116,386,Ozone (O3),Mean,ppb,UHF42,310,Lower Manhattan,Summer 2022,06/01/2022,30.3,
823253,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,307,Gramercy Park - Murray Hill,Summer 2022,06/01/2022,8,
823250,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,308,Greenwich Village - SoHo,Summer 2022,06/01/2022,8,
827045,386,Ozone (O3),Mean,ppb,CD,104,Clinton and Chelsea (CD4),Summer 2022,06/01/2022,29.5,
827044,386,Ozone (O3),Mean,ppb,CD,105,Midtown (CD5),Summer 2022,06/01/2022,27.7,
823349,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,101,Financial District (CD1),Summer 2022,06/01/2022,7.4,
823211,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,105,Midtown (CD5),Summer 2022,06/01/2022,8.7,
827118,386,Ozone (O3),Mean,ppb,UHF42,308,Greenwich Village - SoHo,Summer 2022,06/01/2022,30.3,
825724,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,307,Gramercy Park - Murray Hill,Summer 2022,06/01/2022,19.6,
823214,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,104,Clinton and Chelsea (CD4),Summer 2022,06/01/2022,8,
823367,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,309310,Union Square-Lower Manhattan,Summer 2022,06/01/2022,7.5,
825718,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,309,Union Square - Lower East Side,Summer 2022,06/01/2022,13.9,
825840,375,Nitrogen dioxide (NO2),Mean,ppb,CD,104,Clinton and Chelsea (CD4),Summer 2022,06/01/2022,17.8,
827120,386,Ozone (O3),Mean,ppb,UHF42,306,Chelsea - Clinton,Summer 2022,06/01/2022,28.8,
825837,375,Nitrogen dioxide (NO2),Mean,ppb,CD,105,Midtown (CD5),Summer 2022,06/01/2022,22.5,
825721,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,308,Greenwich Village - SoHo,Summer 2022,06/01/2022,16.6,
823343,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,103,Lower East Side and Chinatown (CD3),Summer 2022,06/01/2022,7.4,
825849,375,Nitrogen dioxide (NO2),Mean,ppb,CD,101,Financial District (CD1),Summer 2022,06/01/2022,16.9,
825839,375,Nitrogen dioxide (NO2),Mean,ppb,CD,104,Clinton and Chelsea (CD4),Annual Average 2022,01/01/2022,21.4,
823345,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,102,Greenwich Village and Soho (CD2),Annual Average 2022,01/01/2022,8.4,
823366,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,309310,Union Square-Lower Manhattan,Annual Average 2022,01/01/2022,7.3,
823252,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,307,Gramercy Park - Murray Hill,Annual Average 2022,01/01/2022,7.9,
823342,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,103,Lower East Side and Chinatown (CD3),Annual Average 2022,01/01/2022,7.2,
825842,375,Nitrogen dioxide (NO2),Mean,ppb,CD,103,Lower East Side and Chinatown (CD3),Annual Average 2022,01/01/2022,17.8,
823246,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,309,Union Square - Lower East Side,Annual Average 2022,01/01/2022,7.5,
825720,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,308,Greenwich Village - SoHo,Annual Average 2022,01/01/2022,20.5,
825726,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,306,Chelsea - Clinton,Annual Average 2022,01/01/2022,22.9,
823249,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,308,Greenwich Village - SoHo,Annual Average 2022,01/01/2022,8,
823210,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,105,Midtown (CD5),Annual Average 2022,01/01/2022,9.1,
823369,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,306308,Chelsea-Village,Annual Average 2022,01/01/2022,8.3,
825866,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,309310,Union Square-Lower Manhattan,Annual Average 2022,01/01/2022,18.9,
825723,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,307,Gramercy Park - Murray Hill,Annual Average 2022,01/01/2022,22.9,
823213,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,104,Clinton and Chelsea (CD4),Annual Average 2022,01/01/2022,7.8,
825848,375,Nitrogen dioxide (NO2),Mean,ppb,CD,101,Financial District (CD1),Annual Average 2022,01/01/2022,21,
823243,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,310,Lower Manhattan,Annual Average 2022,01/01/2022,7.1,
825836,375,Nitrogen dioxide (NO2),Mean,ppb,CD,105,Midtown (CD5),Annual Average 2022,01/01/2022,25.5,
823348,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,101,Financial District (CD1),Annual Average 2022,01/01/2022,7.2,
823255,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,306,Chelsea - Clinton,Annual Average 2022,01/01/2022,8.4,
825845,375,Nitrogen dioxide (NO2),Mean,ppb,CD,102,Greenwich Village and Soho (CD2),Annual Average 2022,01/01/2022,20.2,
825714,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,310,Lower Manhattan,Annual Average 2022,01/01/2022,20.8,
825717,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,309,Union Square - Lower East Side,Annual Average 2022,01/01/2022,18,
825869,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,306308,Chelsea-Village,Annual Average 2022,01/01/2022,22.1,
823245,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,310,Lower Manhattan,Winter 2021-22,12/01/2021,8.1,
825716,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,310,Lower Manhattan,Winter 2021-22,12/01/2021,25.6,
825838,375,Nitrogen dioxide (NO2),Mean,ppb,CD,105,Midtown (CD5),Winter 2021-22,12/01/2021,29.2,
823251,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,308,Greenwich Village - SoHo,Winter 2021-22,12/01/2021,9,
825725,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,307,Gramercy Park - Murray Hill,Winter 2021-22,12/01/2021,27.1,
825728,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,306,Chelsea - Clinton,Winter 2021-22,12/01/2021,26.8,
823254,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,307,Gramercy Park - Murray Hill,Winter 2021-22,12/01/2021,8.8,
823368,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,309310,Union Square-Lower Manhattan,Winter 2021-22,12/01/2021,8.3,
825719,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,309,Union Square - Lower East Side,Winter 2021-22,12/01/2021,22.8,
823257,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,306,Chelsea - Clinton,Winter 2021-22,12/01/2021,9.3,
823215,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,104,Clinton and Chelsea (CD4),Winter 2021-22,12/01/2021,8.7,
825841,375,Nitrogen dioxide (NO2),Mean,ppb,CD,104,Clinton and Chelsea (CD4),Winter 2021-22,12/01/2021,25.5,
823248,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,309,Union Square - Lower East Side,Winter 2021-22,12/01/2021,8.4,
825844,375,Nitrogen dioxide (NO2),Mean,ppb,CD,103,Lower East Side and Chinatown (CD3),Winter 2021-22,12/01/2021,22.6,
823347,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,102,Greenwich Village and Soho (CD2),Winter 2021-22,12/01/2021,9.4,
825871,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,306308,Chelsea-Village,Winter 2021-22,12/01/2021,26.1,
823350,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,101,Financial District (CD1),Winter 2021-22,12/01/2021,8.2,
825850,375,Nitrogen dioxide (NO2),Mean,ppb,CD,101,Financial District (CD1),Winter 2021-22,12/01/2021,25.6,
825868,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,309310,Union Square-Lower Manhattan,Winter 2021-22,12/01/2021,23.6,
823371,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,306308,Chelsea-Village,Winter 2021-22,12/01/2021,9.2,
823344,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,103,Lower East Side and Chinatown (CD3),Winter 2021-22,12/01/2021,8.1,
825847,375,Nitrogen dioxide (NO2),Mean,ppb,CD,102,Greenwich Village and Soho (CD2),Winter 2021-22,12/01/2021,24.4,
823212,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,105,Midtown (CD5),Winter 2021-22,12/01/2021,10.1,
825722,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,308,Greenwich Village - SoHo,Winter 2021-22,12/01/2021,24.7,
743702,386,Ozone (O3),Mean,ppb,UHF42,307,Gramercy Park - Murray Hill,Summer 2021,06/01/2021,26.9,
740975,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,310,Lower Manhattan,Summer 2021,06/01/2021,17.8,
742406,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,105,Midtown (CD5),Summer 2021,06/01/2021,10.9,
742394,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,101,Financial District (CD1),Summer 2021,06/01/2021,9.7,
743646,386,Ozone (O3),Mean,ppb,CD,104,Clinton and Chelsea (CD4),Summer 2021,06/01/2021,27.3,
740969,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,308,Greenwich Village - SoHo,Summer 2021,06/01/2021,17.9,
742238,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,308,Greenwich Village - SoHo,Summer 2021,06/01/2021,10.2,
741107,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,309310,Union Square-Lower Manhattan,Summer 2021,06/01/2021,16.4,
743649,386,Ozone (O3),Mean,ppb,CD,101,Financial District (CD1),Summer 2021,06/01/2021,28,
743655,386,Ozone (O3),Mean,ppb,UHF34,309310,Union Square-Lower Manhattan,Summer 2021,06/01/2021,28.2,
741137,375,Nitrogen dioxide (NO2),Mean,ppb,CD,105,Midtown (CD5),Summer 2021,06/01/2021,22.1,
741134,375,Nitrogen dioxide (NO2),Mean,ppb,CD,104,Clinton and Chelsea (CD4),Summer 2021,06/01/2021,19.2,
741125,375,Nitrogen dioxide (NO2),Mean,ppb,CD,101,Financial District (CD1),Summer 2021,06/01/2021,18,
742403,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,104,Clinton and Chelsea (CD4),Summer 2021,06/01/2021,10,
742376,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,309310,Union Square-Lower Manhattan,Summer 2021,06/01/2021,9.7,
743645,386,Ozone (O3),Mean,ppb,CD,105,Midtown (CD5),Summer 2021,06/01/2021,26.9,
742400,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,103,Lower East Side and Chinatown (CD3),Summer 2021,06/01/2021,9.6,
740963,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,306,Chelsea - Clinton,Summer 2021,06/01/2021,20.2,
743648,386,Ozone (O3),Mean,ppb,CD,102,Greenwich Village and Soho (CD2),Summer 2021,06/01/2021,27.9,
741131,375,Nitrogen dioxide (NO2),Mean,ppb,CD,103,Lower East Side and Chinatown (CD3),Summer 2021,06/01/2021,15.4,
741128,375,Nitrogen dioxide (NO2),Mean,ppb,CD,102,Greenwich Village and Soho (CD2),Summer 2021,06/01/2021,17.8,
742397,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,102,Greenwich Village and Soho (CD2),Summer 2021,06/01/2021,10.5,
742241,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,309,Union Square - Lower East Side,Summer 2021,06/01/2021,9.8,
742232,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,306,Chelsea - Clinton,Summer 2021,06/01/2021,10.4,
743647,386,Ozone (O3),Mean,ppb,CD,103,Lower East Side and Chinatown (CD3),Summer 2021,06/01/2021,28.4,
740972,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,309,Union Square - Lower East Side,Summer 2021,06/01/2021,15.7,
743703,386,Ozone (O3),Mean,ppb,UHF42,306,Chelsea - Clinton,Summer 2021,06/01/2021,27.1,
743701,386,Ozone (O3),Mean,ppb,UHF42,308,Greenwich Village - SoHo,Summer 2021,06/01/2021,28,
743656,386,Ozone (O3),Mean,ppb,UHF34,306308,Chelsea-Village,Summer 2021,06/01/2021,27.4,
743699,386,Ozone (O3),Mean,ppb,UHF42,310,Lower Manhattan,Summer 2021,06/01/2021,28,
740966,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,307,Gramercy Park - Murray Hill,Summer 2021,06/01/2021,20.2,
742373,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,306308,Chelsea-Village,Summer 2021,06/01/2021,10.4,
742235,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,307,Gramercy Park - Murray Hill,Summer 2021,06/01/2021,10.1,
743700,386,Ozone (O3),Mean,ppb,UHF42,309,Union Square - Lower East Side,Summer 2021,06/01/2021,28.3,
741104,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,306308,Chelsea-Village,Summer 2021,06/01/2021,19.4,
742244,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,310,Lower Manhattan,Summer 2021,06/01/2021,9.6,
742377,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,309310,Union Square-Lower Manhattan,Annual Average 2021,01/01/2021,7.7,
742245,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,310,Lower Manhattan,Annual Average 2021,01/01/2021,7.6,
741129,375,Nitrogen dioxide (NO2),Mean,ppb,CD,102,Greenwich Village and Soho (CD2),Annual Average 2021,01/01/2021,21.2,
742398,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,102,Greenwich Village and Soho (CD2),Annual Average 2021,01/01/2021,8.5,
742401,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,103,Lower East Side and Chinatown (CD3),Annual Average 2021,01/01/2021,7.6,
741135,375,Nitrogen dioxide (NO2),Mean,ppb,CD,104,Clinton and Chelsea (CD4),Annual Average 2021,01/01/2021,22.3,
742404,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,104,Clinton and Chelsea (CD4),Annual Average 2021,01/01/2021,8.1,
742233,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,306,Chelsea - Clinton,Annual Average 2021,01/01/2021,8.4,
742395,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,101,Financial District (CD1),Annual Average 2021,01/01/2021,7.7,
741126,375,Nitrogen dioxide (NO2),Mean,ppb,CD,101,Financial District (CD1),Annual Average 2021,01/01/2021,21.6,
742242,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,309,Union Square - Lower East Side,Annual Average 2021,01/01/2021,7.8,
741108,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,309310,Union Square-Lower Manhattan,Annual Average 2021,01/01/2021,20.2,
740976,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,310,Lower Manhattan,Annual Average 2021,01/01/2021,21.5,
742407,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,105,Midtown (CD5),Annual Average 2021,01/01/2021,8.9,
740970,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,308,Greenwich Village - SoHo,Annual Average 2021,01/01/2021,21.3,
740967,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,307,Gramercy Park - Murray Hill,Annual Average 2021,01/01/2021,23.5,
741132,375,Nitrogen dioxide (NO2),Mean,ppb,CD,103,Lower East Side and Chinatown (CD3),Annual Average 2021,01/01/2021,19.3,
741138,375,Nitrogen dioxide (NO2),Mean,ppb,CD,105,Midtown (CD5),Annual Average 2021,01/01/2021,25.2,
742239,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,308,Greenwich Village - SoHo,Annual Average 2021,01/01/2021,8.2,
740964,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,306,Chelsea - Clinton,Annual Average 2021,01/01/2021,23.3,
742236,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,307,Gramercy Park - Murray Hill,Annual Average 2021,01/01/2021,8.2,
740973,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,309,Union Square - Lower East Side,Annual Average 2021,01/01/2021,19.6,
742374,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,306308,Chelsea-Village,Annual Average 2021,01/01/2021,8.4,
741105,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,306308,Chelsea-Village,Annual Average 2021,01/01/2021,22.6,
741136,375,Nitrogen dioxide (NO2),Mean,ppb,CD,105,Midtown (CD5),Winter 2020-21,12/01/2020,28.4,
742402,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,104,Clinton and Chelsea (CD4),Winter 2020-21,12/01/2020,8.2,
742237,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,308,Greenwich Village - SoHo,Winter 2020-21,12/01/2020,8.4,
741106,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,309310,Union Square-Lower Manhattan,Winter 2020-21,12/01/2020,24.6,
742231,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,306,Chelsea - Clinton,Winter 2020-21,12/01/2020,8.6,
740968,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,308,Greenwich Village - SoHo,Winter 2020-21,12/01/2020,25.4,
741127,375,Nitrogen dioxide (NO2),Mean,ppb,CD,102,Greenwich Village and Soho (CD2),Winter 2020-21,12/01/2020,25.3,
742396,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,102,Greenwich Village and Soho (CD2),Winter 2020-21,12/01/2020,8.6,
742399,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,103,Lower East Side and Chinatown (CD3),Winter 2020-21,12/01/2020,7.7,
741130,375,Nitrogen dioxide (NO2),Mean,ppb,CD,103,Lower East Side and Chinatown (CD3),Winter 2020-21,12/01/2020,23.9,
742375,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,309310,Union Square-Lower Manhattan,Winter 2020-21,12/01/2020,7.8,
740962,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,306,Chelsea - Clinton,Winter 2020-21,12/01/2020,26.7,
742234,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,307,Gramercy Park - Murray Hill,Winter 2020-21,12/01/2020,8.3,
740965,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,307,Gramercy Park - Murray Hill,Winter 2020-21,12/01/2020,27,
740974,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,310,Lower Manhattan,Winter 2020-21,12/01/2020,25.7,
742243,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,310,Lower Manhattan,Winter 2020-21,12/01/2020,7.7,
742372,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,306308,Chelsea-Village,Winter 2020-21,12/01/2020,8.5,
741103,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,306308,Chelsea-Village,Winter 2020-21,12/01/2020,26.3,
741133,375,Nitrogen dioxide (NO2),Mean,ppb,CD,104,Clinton and Chelsea (CD4),Winter 2020-21,12/01/2020,25.8,
742240,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,309,Union Square - Lower East Side,Winter 2020-21,12/01/2020,7.9,
741124,375,Nitrogen dioxide (NO2),Mean,ppb,CD,101,Financial District (CD1),Winter 2020-21,12/01/2020,25.8,
740971,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,309,Union Square - Lower East Side,Winter 2020-21,12/01/2020,24.1,
742405,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,105,Midtown (CD5),Winter 2020-21,12/01/2020,9.1,
742393,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,101,Financial District (CD1),Winter 2020-21,12/01/2020,7.8,
667539,375,Nitrogen dioxide (NO2),Mean,ppb,CD,104,Clinton and Chelsea (CD4),Summer 2020,06/01/2020,17.8,
669563,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,105,Midtown (CD5),Summer 2020,06/01/2020,9.2,
667533,375,Nitrogen dioxide (NO2),Mean,ppb,CD,103,Lower East Side and Chinatown (CD3),Summer 2020,06/01/2020,14.1,
667485,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,309310,Union Square-Lower Manhattan,Summer 2020,06/01/2020,15.1,
667215,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,309,Union Square - Lower East Side,Summer 2020,06/01/2020,14.5,
670900,386,Ozone (O3),Mean,ppb,CD,103,Lower East Side and Chinatown (CD3),Summer 2020,06/01/2020,29,
669605,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,101,Financial District (CD1),Summer 2020,06/01/2020,7.9,
667221,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,310,Lower Manhattan,Summer 2020,06/01/2020,16.6,
670956,386,Ozone (O3),Mean,ppb,UHF42,306,Chelsea - Clinton,Summer 2020,06/01/2020,27.8,
670955,386,Ozone (O3),Mean,ppb,UHF42,307,Gramercy Park - Murray Hill,Summer 2020,06/01/2020,27.7,
669761,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,308,Greenwich Village - SoHo,Summer 2020,06/01/2020,8.5,
669755,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,310,Lower Manhattan,Summer 2020,06/01/2020,7.8,
669596,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,104,Clinton and Chelsea (CD4),Summer 2020,06/01/2020,8.3,
667527,375,Nitrogen dioxide (NO2),Mean,ppb,CD,102,Greenwich Village and Soho (CD2),Summer 2020,06/01/2020,16.2,
670954,386,Ozone (O3),Mean,ppb,UHF42,308,Greenwich Village - SoHo,Summer 2020,06/01/2020,28.5,
669602,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,102,Greenwich Village and Soho (CD2),Summer 2020,06/01/2020,8.7,
670899,386,Ozone (O3),Mean,ppb,CD,104,Clinton and Chelsea (CD4),Summer 2020,06/01/2020,28.4,
670909,386,Ozone (O3),Mean,ppb,UHF34,306308,Chelsea-Village,Summer 2020,06/01/2020,28.1,
670908,386,Ozone (O3),Mean,ppb,UHF34,309310,Union Square-Lower Manhattan,Summer 2020,06/01/2020,28.5,
667209,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,308,Greenwich Village - SoHo,Summer 2020,06/01/2020,16.2,
669626,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,306308,Chelsea-Village,Summer 2020,06/01/2020,8.6,
667197,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,306,Chelsea - Clinton,Summer 2020,06/01/2020,19.3,
669599,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,103,Lower East Side and Chinatown (CD3),Summer 2020,06/01/2020,7.9,
669764,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,307,Gramercy Park - Murray Hill,Summer 2020,06/01/2020,8.4,
667545,375,Nitrogen dioxide (NO2),Mean,ppb,CD,105,Midtown (CD5),Summer 2020,06/01/2020,21.9,
667521,375,Nitrogen dioxide (NO2),Mean,ppb,CD,101,Financial District (CD1),Summer 2020,06/01/2020,16.7,
669623,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,309310,Union Square-Lower Manhattan,Summer 2020,06/01/2020,8,
670902,386,Ozone (O3),Mean,ppb,CD,101,Financial District (CD1),Summer 2020,06/01/2020,27.9,
669758,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,309,Union Square - Lower East Side,Summer 2020,06/01/2020,8.1,
670952,386,Ozone (O3),Mean,ppb,UHF42,310,Lower Manhattan,Summer 2020,06/01/2020,27.7,
669767,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,306,Chelsea - Clinton,Summer 2020,06/01/2020,8.7,
670898,386,Ozone (O3),Mean,ppb,CD,105,Midtown (CD5),Summer 2020,06/01/2020,26.9,
670901,386,Ozone (O3),Mean,ppb,CD,102,Greenwich Village and Soho (CD2),Summer 2020,06/01/2020,28.5,
667203,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,307,Gramercy Park - Murray Hill,Summer 2020,06/01/2020,19.7,
667479,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,306308,Chelsea-Village,Summer 2020,06/01/2020,18.3,
670953,386,Ozone (O3),Mean,ppb,UHF42,309,Union Square - Lower East Side,Summer 2020,06/01/2020,28.9,
667195,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,306,Chelsea - Clinton,Annual Average 2020,01/01/2020,23.9,
667207,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,308,Greenwich Village - SoHo,Annual Average 2020,01/01/2020,21.3,
667543,375,Nitrogen dioxide (NO2),Mean,ppb,CD,105,Midtown (CD5),Annual Average 2020,01/01/2020,26.3,
669766,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,307,Gramercy Park - Murray Hill,Annual Average 2020,01/01/2020,8.2,
667201,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,307,Gramercy Park - Murray Hill,Annual Average 2020,01/01/2020,24.3,
667483,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,309310,Union Square-Lower Manhattan,Annual Average 2020,01/01/2020,20.3,
